county_name,crime_rate_per_100000,index,EDITION,PART,IDNO,CPOPARST,CPOPCRIM,AG_ARRST,AG_OFF,COVIND,INDEX,MODINDX,MURDER,RAPE,ROBBERY,AGASSLT,BURGLRY,LARCENY,MVTHEFT,ARSON,population,FIPS_ST,FIPS_CTY
"Garfield County, WA",310.2836879,834,1,4,2998,2284,2284,1,1,100,7,53,0,1,0,6,16,35,2,1,2256,53,23
"Marion County, TN",310.1430887,835,1,4,2513,28026,28456,8,9,100,88,542,0,1,4,83,116,380,46,1,28374,47,115
"Craven County, NC",310.0804869,836,1,4,1936,105824,104796,8,5,100,324,4149,3,24,61,236,1888,2116,145,9,104489,37,49
"Gunnison County, CO",309.5376282,837,1,4,273,15621,15621,4,4,100,48,308,0,5,2,41,35,260,13,0,15507,8,51
"Vanderburgh County, IN",309.2647107,838,1,4,786,180870,118194,3,2,100,561,6098,8,56,199,298,1132,4544,422,76,181398,18,163
"Howard County, AR",309.2555776,839,1,4,143,13939,13939,4,4,91.7856,42,421,0,6,2,35,120,297,4,0,13581,5,61
"Hardy County, WV",308.908046,840,1,4,3042,13912,13642,7,4,100,43,95,0,3,0,40,32,54,9,2,13920,54,31
"Kankakee County, IL",308.5979308,841,1,4,648,113355,103720,11,9,100,346,2947,8,49,82,207,658,2195,94,46,112120,17,91
"Indian River County, FL",308.4637379,842,1,4,355,140789,140789,14,8,100,438,3783,1,17,64,356,851,2830,102,1,141994,12,61
"Somerset County, MD",308.3012979,843,1,4,1222,26593,26593,5,5,100,81,494,3,9,9,60,147,338,9,4,26273,24,39
"Bates County, MO",308.1570997,844,1,4,1504,16932,16932,4,4,100,51,491,0,0,1,50,115,336,40,3,16550,29,13
"Butte County, CA",307.98325,845,1,4,191,222309,222309,13,10,100,684,5659,11,75,167,431,1919,3147,593,62,222090,6,7
"Mahnomen County, MN",307.3029646,846,1,4,1370,5491,5491,1,1,100,17,114,0,3,0,14,36,74,4,0,5532,27,87
"Stephens County, OK",307.2196621,847,1,4,2223,45475,45475,4,4,100,138,1529,3,19,19,97,441,1018,70,4,44919,40,137
"Wayne County, IL",307.0069829,848,1,4,698,16659,15634,3,2,100,51,289,0,3,1,47,87,198,4,2,16612,17,191
"Stewart County, TN",306.8402934,849,1,4,2536,13295,13295,3,3,100,41,168,1,1,3,36,61,94,13,4,13362,47,161
"Jefferson County, GA",306.372549,850,1,4,474,16853,13935,6,4,100,50,344,0,1,17,32,121,210,13,0,16320,13,163
"Kearny County, KS",305.8883508,851,1,4,942,4007,4007,1,1,100,12,63,0,2,0,10,17,44,2,0,3923,20,93
"Panola County, TX",305.823209,852,1,4,2733,24144,24418,2,3,100,73,689,0,7,8,58,208,437,44,4,23870,48,365
"Pecos County, TX",305.7909155,853,1,4,2736,15951,15951,2,2,100,48,331,1,4,2,41,74,255,2,1,15697,48,371
"Hartford County, CT",305.5867265,854,1,4,313,874063,874063,29,28,100,2745,22493,34,129,1153,1429,4293,16180,2020,140,898272,9,3
"Woodbury County, IA",305.4929991,855,1,4,893,102913,102907,3,3,100,312,3761,3,36,46,227,709,2830,222,20,102130,19,193
"Cowlitz County, WA",305.3210289,856,1,4,2994,103568,103483,6,6,100,311,3851,4,79,66,162,872,2742,237,51,101860,53,15
"Lafayette County, FL",305.1537071,857,1,4,358,9064,9064,11,4,100,27,67,1,1,1,24,28,38,1,1,8848,12,67
"Riverside County, CA",304.8627551,858,1,4,220,2260388,2260388,41,34,100,6989,68176,76,322,2349,4242,19105,39880,9191,241,2292507,6,65
"Sheridan County, NE",304.7038659,859,1,4,1751,5430,5430,3,3,100,16,89,0,2,1,13,17,68,4,4,5251,31,161
"Clearfield County, PA",304.2846232,860,1,4,2286,81577,81577,13,12,100,247,1822,0,37,12,198,325,1454,43,19,81174,42,33
"Jackson County, TN",303.8985847,861,1,4,2499,11465,11465,3,3,100,35,231,0,0,2,33,83,131,17,3,11517,47,87
"Washington County, MS",303.896313,862,1,4,1490,50515,50515,4,4,88.348,151,3078,11,24,54,62,1242,1693,142,85,49688,28,151
"Adams County, IL",303.8879785,863,1,4,603,67190,66058,5,3,100,204,1568,0,28,16,160,287,1251,30,9,67130,17,1
"Iron County, UT",303.548525,864,1,4,2816,47372,47372,6,6,100,142,1104,1,23,5,113,218,832,53,4,46780,49,21
"Stark County, OH",303.3838352,865,1,4,2142,377144,370712,21,20,99.5311,1139,12041,13,126,583,417,3773,7549,719,98,375432,39,151
"St. Louis County, MO",303.3619454,866,1,4,1593,999473,999473,74,73,99.6644,3038,26774,38,154,732,2114,5444,19368,1961,123,1001444,29,189
"Cass County, TX",303.3200356,867,1,4,2584,30715,30709,6,6,100,92,715,2,11,8,71,298,376,41,1,30331,48,67
"Broome County, NY",303.2389361,868,1,4,1852,199290,200105,13,10,100,599,6270,7,59,135,398,1252,4891,126,27,197534,36,7
"Jefferson County, TN",303.1291368,869,1,4,2500,52087,52093,6,7,100,158,1425,3,12,26,117,399,957,68,5,52123,47,89
"Hertford County, NC",302.8938644,870,1,4,1957,24675,23906,6,3,100,74,610,4,5,15,50,225,350,35,6,24431,37,91
"Tyler County, TX",302.83265,871,1,4,2779,21990,21990,2,2,100,65,283,1,9,1,54,130,134,19,3,21464,48,457
"Tippecanoe County, IN",302.4853752,872,1,4,783,175271,174650,7,6,99.9311,545,5033,1,63,87,394,1032,3725,275,16,180174,18,157
"Bay County, MI",302.343867,873,1,4,1251,107032,107188,7,8,100,323,2115,1,69,41,212,453,1573,89,15,106832,26,17
"Kauai County, HI",302.1061112,874,1,4,556,68563,68563,1,1,100,210,2593,0,29,22,159,689,1753,151,10,69512,15,7
"Richland Parish, LA",302.0568634,875,1,4,1163,21062,18094,3,2,94.8104,63,458,0,2,3,58,75,369,14,1,20857,22,83
"Knox County, IL",301.4708706,876,1,4,650,52933,50851,7,4,98.9119,157,1395,2,20,14,121,340,1032,22,4,52078,17,95
"Jack County, TX",301.4402144,877,1,4,2669,9170,9170,2,2,100,27,152,0,6,0,21,39,99,14,1,8957,48,237
"Carroll County, GA",300.8321837,878,1,4,415,117989,112345,9,9,100,338,3467,3,35,71,229,903,2402,162,8,112355,13,45
"Midland County, TX",300.3934825,879,1,4,2715,140670,142409,3,4,100,455,3644,5,22,54,374,700,2728,216,9,151468,48,329
"Greene County, GA",300.2267018,880,1,4,459,16202,16202,4,3,100,49,451,1,0,4,44,100,340,11,0,16321,13,133
"Carbon County, UT",300.1715266,881,1,4,2809,21606,21606,6,6,96.7351,63,865,9,11,1,42,211,619,35,4,20988,49,7
"Walton County, GA",299.6944749,882,1,4,540,88088,85483,5,4,100,257,2699,21,27,42,167,817,1719,163,4,85754,13,297
"Polk County, TN",299.5805872,883,1,4,2525,16918,16918,3,3,100,50,366,4,1,2,43,115,210,41,0,16690,47,139
"Madison County, AR",299.3439908,884,1,4,156,15836,13469,2,1,100,47,132,0,9,0,38,48,77,7,3,15701,5,87
"Sullivan County, PA",299.1654858,885,1,4,2326,6489,6489,5,4,100,19,98,0,1,0,18,44,50,4,0,6351,42,113
"Banks County, GA",298.6695629,886,1,4,399,18079,18446,2,4,100,55,566,0,2,1,52,109,428,29,0,18415,13,11
"Maverick County, TX",298.5768433,887,1,4,2712,56235,56235,2,2,100,167,1547,3,4,4,156,512,993,42,1,55932,48,323
"Clark County, OH",298.1632848,888,1,4,2078,137682,137381,8,7,98.6303,406,5675,5,45,182,174,1753,3708,213,93,136167,39,23
"Arapahoe County, CO",297.9886998,889,1,4,249,637227,593040,13,12,100,1809,16014,22,265,552,970,2879,11787,1348,110,607070,8,5
"Scott County, KS",297.9145978,890,1,4,981,4935,4935,2,2,100,15,81,0,3,0,12,16,60,5,0,5035,20,171
"Mitchell County, KS",297.8990279,891,1,4,957,6327,5862,3,2,100,19,63,0,3,0,16,15,45,3,1,6378,20,123
"Jackson County, MS",296.9028124,892,1,4,1444,140202,140202,5,5,100,417,4882,5,74,103,235,1406,3153,323,19,140450,28,59
"Lyon County, NV",296.758927,893,1,4,1774,52549,52549,2,2,100,153,1124,1,19,12,121,322,729,73,10,51557,32,19
"Buena Vista County, IA",296.5916274,894,1,4,807,20485,20485,2,2,96.0255,61,320,0,3,0,58,90,217,13,5,20567,19,21
"Wakulla County, FL",296.563729,895,1,4,390,31401,31401,11,4,100,92,684,0,13,4,75,149,513,22,7,31022,12,129
"Ochiltree County, TX",296.1317786,896,1,4,2729,10688,10688,2,2,100,32,157,0,0,0,32,35,110,12,4,10806,48,357
"Wayne County, IN",296.0540851,897,1,4,793,68858,66989,5,4,77.12,201,2016,7,51,55,88,613,1259,143,41,67893,18,177
"Cass County, ND",296.0160659,898,1,4,2021,155868,155868,4,4,100,482,3633,1,82,54,345,620,2813,200,23,162829,38,17
"Mineral County, WV",295.9861392,899,1,4,3055,28193,27317,9,6,100,82,435,0,7,6,69,131,287,17,1,27704,54,57
"Boone County, IA",295.8579882,900,1,4,804,26357,26357,3,3,100,78,362,1,12,2,63,122,234,6,3,26364,19,15
"Kootenai County, ID",295.2899179,901,1,4,585,142089,142089,5,5,100,426,4543,1,58,23,343,1173,3096,274,37,144265,16,55
"Hernando County, FL",295.2287593,902,1,4,351,175456,175456,11,5,100,515,4628,2,46,71,396,1249,3213,166,7,174441,12,53
"Marion County, IL",295.1685568,903,1,4,663,42665,38082,6,5,93.1838,114,1288,0,12,15,87,292,944,52,8,38622,17,121
"Macon County, TN",295.1411832,904,1,4,2511,22671,22671,3,3,100,67,231,0,2,0,65,56,149,26,1,22701,47,111
"Sumner County, TN",294.869973,905,1,4,2538,177117,170518,11,11,100,498,3110,2,31,41,423,674,2327,108,31,168888,47,165
"Lawrence County, AL",294.7569,906,1,4,40,34254,33623,7,5,98.4723,99,617,0,4,6,89,206,362,49,5,33587,1,79
"Overton County, TN",294.4507361,907,1,4,2522,22352,22352,3,3,100,65,299,1,3,2,59,119,167,13,5,22075,47,133
"Washtenaw County, MI",294.4331527,908,1,4,1323,350276,348215,12,12,100,1043,8519,6,159,188,690,2339,5739,441,85,354240,26,161
"Mille Lacs County, MN",294.1973445,909,1,4,1374,26196,26146,3,3,100,76,840,0,17,11,48,195,592,53,3,25833,27,95
"Lake County, OR",294.1176471,910,1,4,2251,7964,2313,4,1,100,23,24,0,4,0,19,7,14,3,0,7820,41,37
"Colorado County, TX",293.9475713,911,1,4,2595,21128,21128,4,4,90.8747,61,396,4,13,2,42,120,255,22,0,20752,48,89
